state,district,lat,lon
Maharashtra,Nashik,19.997,73.790
Maharashtra,Ahilyanagar,19.095,74.749
Maharashtra,Pune,18.520,73.857
Maharashtra,Mumbai,19.076,72.878
Maharashtra,Solapur,17.659,75.906
Maharashtra,Chattrapati Sambhajinagar,19.876,75.343
Maharashtra,Nagpur,21.146,79.088
Maharashtra,Jalgaon,21.008,75.563
Maharashtra,Dhule,20.902,74.777
Maharashtra,Wardha,20.745,78.602
Maharashtra,Sangli,16.855,74.564
Karnataka,Bengaluru,12.972,77.594
Karnataka,Mandya,12.523,76.895
Karnataka,Chamarajanagar,11.924,76.940
Karnataka,Hassan,13.005,76.100
Karnataka,Davangere,14.467,75.924
Karnataka,Kolar,13.136,78.129
Karnataka,Shivamogga,13.930,75.568
Karnataka,Raichur,16.205,77.355
Karnataka,Tumakuru,13.341,77.101
Karnataka,Chitradurga,14.230,76.399
Karnataka,Mysuru,12.295,76.639
Karnataka,Dakshina Kannada,12.870,74.843
Karnataka,Udupi,13.341,74.746
Karnataka,Chikkaballapur,13.435,77.728
Karnataka,Haveri,14.795,75.404
Karnataka,Chikkamagaluru,13.316,75.774
Karnataka,Uttara Kannada,14.795,74.137
Karnataka,Vijayapura,16.831,75.710
Karnataka,Belagavi,15.850,74.498
Kerala,Palakad,10.776,76.655
Kerala,Thiruvananthapuram,8.524,76.937
Kerala,Ernakulam,9.982,76.300
Kerala,Kozhikode(Calicut),11.258,75.780
Andhra Pradesh,Kurnool,15.828,78.037
Andhra Pradesh,Annamayya,13.833,78.820
Andhra Pradesh,Nandyal,15.478,78.483
Andhra Pradesh,Chittor,13.217,79.100
Telangana,Hyderabad,17.385,78.487
Telangana,Khammam,17.247,80.151
Telangana,Bhadradri Kothagudem,17.550,80.617
Telangana,Ranga Reddy,17.328,78.336
Telangana,Sangareddy,17.625,78.086
Tamil Nadu,Thiruvellore,13.143,79.908
Tamil Nadu,Coimbatore,11.017,76.956
Tamil Nadu,Madurai,9.925,78.120
Tamil Nadu,Salem,11.664,78.146
Tamil Nadu,Vellore,12.916,79.132
Tamil Nadu,Villupuram,11.939,79.493
