commodity,lost_t_yr,prod_co2e,trans_co2e,total_co2e
Onion,643045.4920799999,321522.74603999994,16236.89867502,337759.64471501997
Paddy (Common),145364.37743999998,145364.37743999998,3670.4505303600004,149034.82797035997
Tomato,217720.453608,108860.226804,7348.06530927,116208.29211327
Potato,97058.13084,48529.06542,2450.71780371,50979.78322371
Green Chilli,28171.894464,33806.2733568,950.8014381600001,34757.07479496
Maize,122330.36495999998,24466.072991999998,3088.84171524,27554.914707239997
Banana,27107.203535999997,24396.483182399996,914.8681193400001,25311.351301739996
Groundnut,20295.112559999998,24354.135071999997,512.45159214,24866.58666414
Turmeric,15292.87968,18351.455616,386.14521192,18737.60082792
Brinjal,17539.709543999998,8769.854771999999,591.9651971100001,9361.819969109998
Ragi,3350.94384,670.188768,84.61133196,754.80009996
