recovery_share,capex_Rs_per_t,opex_Rs_per_t_yr,hold_share,districts,viable,fail_pct
0.45,6000,1000,0.08,84,67,20.2
0.45,6000,1000,0.12,84,67,20.2
0.45,6000,1400,0.08,84,67,20.2
0.45,6000,1400,0.12,84,66,21.4
0.45,6000,1900,0.08,84,67,20.2
0.45,6000,1900,0.12,84,65,22.6
0.45,8000,1000,0.08,84,67,20.2
0.45,8000,1000,0.12,84,66,21.4
0.45,8000,1400,0.08,84,67,20.2
0.45,8000,1400,0.12,84,66,21.4
0.45,8000,1900,0.08,84,67,20.2
0.45,8000,1900,0.12,84,61,27.4
0.45,11000,1000,0.08,84,67,20.2
0.45,11000,1000,0.12,84,66,21.4
0.45,11000,1400,0.08,84,67,20.2
0.45,11000,1400,0.12,84,63,25.0
0.45,11000,1900,0.08,84,66,21.4
0.45,11000,1900,0.12,84,50,40.5
0.6,6000,1000,0.08,84,67,20.2
0.6,6000,1000,0.12,84,67,20.2
0.6,6000,1400,0.08,84,67,20.2
0.6,6000,1400,0.12,84,67,20.2
0.6,6000,1900,0.08,84,67,20.2
0.6,6000,1900,0.12,84,66,21.4
0.6,8000,1000,0.08,84,67,20.2
0.6,8000,1000,0.12,84,67,20.2
0.6,8000,1400,0.08,84,67,20.2
0.6,8000,1400,0.12,84,67,20.2
0.6,8000,1900,0.08,84,67,20.2
0.6,8000,1900,0.12,84,66,21.4
0.6,11000,1000,0.08,84,67,20.2
0.6,11000,1000,0.12,84,67,20.2
0.6,11000,1400,0.08,84,67,20.2
0.6,11000,1400,0.12,84,66,21.4
0.6,11000,1900,0.08,84,67,20.2
0.6,11000,1900,0.12,84,66,21.4
0.75,6000,1000,0.08,84,67,20.2
0.75,6000,1000,0.12,84,67,20.2
0.75,6000,1400,0.08,84,67,20.2
0.75,6000,1400,0.12,84,67,20.2
0.75,6000,1900,0.08,84,67,20.2
0.75,6000,1900,0.12,84,67,20.2
0.75,8000,1000,0.08,84,67,20.2
0.75,8000,1000,0.12,84,67,20.2
0.75,8000,1400,0.08,84,67,20.2
0.75,8000,1400,0.12,84,67,20.2
0.75,8000,1900,0.08,84,67,20.2
0.75,8000,1900,0.12,84,67,20.2
0.75,11000,1000,0.08,84,67,20.2
0.75,11000,1000,0.12,84,67,20.2
0.75,11000,1400,0.08,84,67,20.2
0.75,11000,1400,0.12,84,67,20.2
0.75,11000,1900,0.08,84,67,20.2
0.75,11000,1900,0.12,84,66,21.4
